participant_id,trial_index,pair_id,model_left,model_right,selected_model,response_time_ms,choice_probability_left
SIM_001,32,PAIR_00032,BM-224,BM-229,BM-229,,0.3375055782864029
SIM_001,33,PAIR_00033,BM-221,BM-219,BM-219,,0.3292097878666537
SIM_001,34,PAIR_00034,BM-215,BM-214,BM-214,,0.3907685043566045
SIM_001,35,PAIR_00035,BM-239,BM-223,BM-223,,0.2899067120138933
SIM_001,36,PAIR_00036,BM-217,BF-255,BF-255,,0.16749368987613308
SIM_001,37,PAIR_00037,BM-222,BM-212,BM-222,,0.9559877205776918
SIM_001,38,PAIR_00038,BM-236,BM-227,BM-236,,0.5851839412783998
SIM_001,39,PAIR_00039,BM-217,BM-214,BM-214,,0.27271634835576414
SIM_001,40,PAIR_00040,BF-255,BM-226,BF-255,,0.8467498546318379
SIM_001,41,PAIR_00041,BM-229,BM-216,BM-229,,0.458083311976373
SIM_001,42,PAIR_00042,BM-211,BM-224,BM-211,,0.8581315487375101
SIM_001,43,PAIR_00043,BM-219,BM-231,BM-219,,0.8113370505696746
SIM_001,44,PAIR_00044,BM-218,BM-215,BM-218,,0.7677483569731899
SIM_001,45,PAIR_00045,BM-228,BM-237,BM-228,,0.5261270737795799
SIM_001,46,PAIR_00046,BM-221,BM-223,BM-223,,0.4009571315095831
SIM_001,47,PAIR_00047,BM-227,BM-213,BM-227,,0.898496525351987
SIM_001,48,PAIR_00048,BM-225,BM-212,BM-212,,0.9105025016100444
SIM_001,49,PAIR_00049,BF-007,BM-222,BM-222,,0.3052281205908015
SIM_001,50,PAIR_00050,BM-239,BF-242,BM-239,,0.6483185302283063
SIM_001,51,PAIR_00051,BM-214,BF-007,BF-007,,0.4558957557008482
SIM_001,52,PAIR_00052,BM-216,BM-212,BM-212,,0.8737173229181733
SIM_001,53,PAIR_00053,BM-223,BM-227,BM-227,,0.3986865182977619
SIM_001,54,PAIR_00054,BM-217,BM-231,BM-231,,0.45707731145428465
SIM_001,55,PAIR_00055,BF-242,BM-226,BF-242,,0.4797357297054694
SIM_001,56,PAIR_00056,BM-221,BM-239,BM-221,,0.6211326493727066
SIM_001,57,PAIR_00057,BM-228,BM-218,BM-218,,0.2830619035400725
SIM_001,58,PAIR_00058,BM-222,BM-225,BM-222,,0.6810258985706044
SIM_001,59,PAIR_00059,BM-229,BM-215,BM-229,,0.5327978943713936
SIM_001,60,PAIR_00060,BM-236,BM-211,BM-236,,0.5700307524616257
SIM_001,61,PAIR_00061,BF-255,BM-237,BM-237,,0.7119719570816829
SIM_001,62,PAIR_00062,BM-219,BM-213,BM-219,,0.8889412139677642
SIM_001,63,PAIR_00063,BF-242,BM-224,BF-242,,0.45494959516696887
SIM_001,64,PAIR_00064,BM-229,BM-237,BM-237,,0.49241736101051403
SIM_001,65,PAIR_00065,BM-226,BM-227,BM-227,,0.13736703098829836
SIM_001,66,PAIR_00066,BM-215,BM-216,BM-216,,0.42569403475889667
SIM_001,67,PAIR_00067,BM-213,BM-214,BM-214,,0.19309558203895444
SIM_001,68,PAIR_00068,BM-222,BM-217,BM-222,,0.8787115543332452
SIM_001,69,PAIR_00069,BM-225,BM-218,BM-218,,0.3750418211636877
SIM_001,70,PAIR_00070,BM-223,BF-007,BF-007,,0.54060842380539
SIM_001,71,PAIR_00071,BM-239,BM-211,BM-211,,0.20279883241704552
SIM_001,72,PAIR_00072,BM-236,BF-255,BF-255,,0.6158783457170887
SIM_001,73,PAIR_00073,BM-212,BM-219,BM-219,,0.061293611521879086
SIM_001,74,PAIR_00074,BM-231,BM-228,BM-231,,0.3472830018189138
SIM_001,75,PAIR_00075,BM-224,BM-221,BM-221,,0.28387450638342465
SIM_001,76,PAIR_00076,BM-221,BF-242,BM-221,,0.7513854013975068
SIM_001,77,PAIR_00077,BM-222,BM-219,BM-219,,0.5864840223325505
SIM_001,78,PAIR_00078,BM-224,BM-226,BM-226,,0.5248769766578227
SIM_001,79,PAIR_00079,BM-212,BM-214,BM-214,,0.11116701969697171
SIM_001,80,PAIR_00080,BF-007,BM-237,BM-237,,0.6128354244491387
SIM_001,81,PAIR_00081,BM-211,BM-217,BM-211,,0.8573691371982063
SIM_001,82,PAIR_00082,BM-228,BM-225,BM-228,,0.39683344870518444
SIM_001,83,PAIR_00083,BM-213,BM-216,BM-216,,0.21663610038712067
SIM_001,84,PAIR_00084,BM-223,BM-215,BM-223,,0.6864881778517896
SIM_001,85,PAIR_00085,BM-231,BM-227,BM-227,,0.17373565313266423
SIM_001,86,PAIR_00086,BM-239,BF-255,BF-255,,0.23527180306944467
SIM_001,87,PAIR_00087,BM-229,BM-236,BM-229,,0.19664388366947144
SIM_001,88,PAIR_00088,BM-219,BM-218,BM-218,,0.4746203209194756
SIM_001,89,PAIR_00089,BM-229,BM-214,BM-214,,0.4224551616355219
SIM_001,90,PAIR_00090,BM-213,BM-221,BM-221,,0.20290916874714177
SIM_001,91,PAIR_00091,BM-224,BM-215,BM-224,,0.36747839029831664
SIM_001,92,PAIR_00092,BM-212,BM-226,BM-212,,0.27048711097929706
SIM_001,93,PAIR_00093,BM-237,BM-227,BM-237,,0.2625068189721848
SIM_001,94,PAIR_00094,BM-217,BF-242,BM-217,,0.5465994159293619
SIM_001,95,PAIR_00095,BM-223,BM-218,BM-218,,0.3984593490577611
SIM_001,96,PAIR_00096,BF-255,BM-216,BF-255,,0.682926223091502
SIM_001,97,PAIR_00097,BM-222,BM-211,BM-211,,0.5465340657043668
SIM_001,98,PAIR_00098,BM-231,BF-007,BF-007,,0.271772807943265
SIM_001,99,PAIR_00099,BM-239,BM-225,BM-225,,0.31065077989289125
SIM_001,100,PAIR_00100,BM-228,BM-236,BM-236,,0.2188351921913676
SIM_001,101,PAIR_00101,BM-211,BM-226,BM-211,,0.8698289600678419
SIM_001,102,PAIR_00102,BF-007,BM-219,BF-007,,0.38388872519658374
SIM_001,103,PAIR_00103,BM-236,BM-214,BM-236,,0.7492659043913402
SIM_001,104,PAIR_00104,BF-242,BM-213,BM-213,,0.5651758931159829
SIM_001,105,PAIR_00105,BF-255,BM-222,BM-222,,0.40690134004113265
SIM_001,106,PAIR_00106,BM-212,BM-218,BM-218,,0.05570160960137181
SIM_001,107,PAIR_00107,BM-231,BM-215,BM-231,,0.4098254623839697
SIM_001,108,PAIR_00108,BM-228,BM-227,BM-228,,0.2832542619174882
SIM_001,109,PAIR_00109,BM-223,BM-216,BM-223,,0.6187652185868557
SIM_001,110,PAIR_00110,BM-237,BM-239,BM-237,,0.5680251532244893
SIM_001,111,PAIR_00111,BM-229,BM-225,BM-225,,0.36502653811052327
SIM_001,112,PAIR_00112,BM-224,BM-217,BM-217,,0.4984378712552536
SIM_001,113,PAIR_00113,BM-225,BM-221,BM-225,,0.5751073295424118
SIM_001,114,PAIR_00114,BM-214,BM-231,BM-214,,0.6918473256643518
SIM_001,115,PAIR_00115,BM-229,BM-223,BM-223,,0.34245527804465553
SIM_001,116,PAIR_00116,BF-242,BM-215,BM-215,,0.32656960876884994
SIM_001,117,PAIR_00117,BM-213,BM-226,BM-226,,0.4150088421278394
SIM_001,118,PAIR_00118,BM-216,BM-219,BM-216,,0.3111832951396571
SIM_001,119,PAIR_00119,BM-237,BM-222,BM-222,,0.217248963876395
SIM_001,120,PAIR_00120,BM-211,BM-221,BM-221,,0.7056882563938565
SIM_001,121,PAIR_00121,BM-217,BM-228,BM-217,,0.30935894027404387
SIM_001,122,PAIR_00122,BM-212,BM-224,BM-224,,0.2512902538392436
SIM_001,123,PAIR_00123,BM-239,BM-218,BM-218,,0.21286764940304412
SIM_001,124,PAIR_00124,BM-227,BF-255,BM-227,,0.53195615808631
SIM_001,125,PAIR_00125,BM-236,BF-007,BF-007,,0.7145985761171072
SIM_001,126,PAIR_00126,BM-223,BM-211,BM-211,,0.3838933329441322
SIM_001,127,PAIR_00127,BM-231,BM-212,BM-231,,0.7807608319292152
SIM_001,128,PAIR_00128,BM-219,BM-214,BM-219,,0.6569995404963171
SIM_001,129,PAIR_00129,BM-236,BF-242,BM-236,,0.9057254918377985
SIM_001,130,PAIR_00130,BM-213,BM-222,BM-222,,0.08095655714746094
SIM_001,131,PAIR_00131,BM-226,BM-221,BM-226,,0.2640714551215016
SIM_001,132,PAIR_00132,BF-007,BF-255,BF-255,,0.3903754955686164
SIM_001,133,PAIR_00133,BM-216,BM-237,BM-237,,0.5343777554152823
SIM_001,134,PAIR_00134,BM-239,BM-217,BM-239,,0.6046112198850913
SIM_001,135,PAIR_00135,BM-215,BM-225,BM-225,,0.3351477454818891
SIM_001,136,PAIR_00136,BM-229,BM-218,BM-218,,0.25649614064364357
SIM_001,137,PAIR_00137,BM-224,BM-227,BM-227,,0.14959987243631057
SIM_001,138,PAIR_00138,BM-228,BF-007,BM-228,,0.41225696256436
SIM_001,139,PAIR_00139,BM-216,BM-236,BM-236,,0.2245504545236615
SIM_001,140,PAIR_00140,BM-218,BM-217,BM-218,,0.8497244999092971
SIM_001,141,PAIR_00141,BM-231,BM-229,BM-231,,0.37846534003523
SIM_001,142,PAIR_00142,BM-237,BM-214,BM-214,,0.42987286313774875
SIM_001,143,PAIR_00143,BF-242,BM-227,BM-227,,0.12803625194772436
SIM_001,144,PAIR_00144,BM-219,BM-224,BM-219,,0.8371378204852085
SIM_001,145,PAIR_00145,BM-211,BF-255,BM-211,,0.5473857435404343
SIM_001,146,PAIR_00146,BM-225,BM-223,BM-223,,0.4753304079297246
SIM_001,147,PAIR_00147,BM-222,BM-221,BM-222,,0.7429218072548591
SIM_001,148,PAIR_00148,BM-212,BM-213,BM-212,,0.343247453131141
SIM_001,149,PAIR_00149,BM-239,BM-226,BM-226,,0.6296124959858393
SIM_001,150,PAIR_00150,BM-228,BM-215,BM-215,,0.5661884331139478
SIM_001,151,PAIR_00151,BM-226,BM-231,BM-231,,0.43095568282384794
SIM_001,152,PAIR_00152,BM-217,BM-227,BM-227,,0.15039655126629822
SIM_001,153,PAIR_00153,BM-239,BM-236,BM-236,,0.1609915146051335
SIM_001,154,PAIR_00154,BF-255,BM-229,BF-255,,0.7181520469739519
SIM_001,155,PAIR_00155,BM-237,BM-223,BM-237,,0.3493178947989133
SIM_001,156,PAIR_00156,BM-224,BM-225,BM-225,,0.22652408676368152
SIM_001,157,PAIR_00157,BM-222,BF-242,BM-222,,0.8972674817394369
SIM_001,158,PAIR_00158,BM-211,BM-215,BM-211,,0.778476014177606
SIM_001,159,PAIR_00159,BM-214,BM-228,BM-214,,0.5443249145087194
SIM_001,160,PAIR_00160,BF-007,BM-212,BF-007,,0.9051455603350077
SIM_001,161,PAIR_00161,BM-221,BM-218,BM-218,,0.3071734138642074
SIM_001,162,PAIR_00162,BM-213,BM-215,BM-215,,0.27171535970268296
SIM_001,163,PAIR_00163,BM-222,BM-216,BM-222,,0.7584210486984893
SIM_001,164,PAIR_00164,BM-226,BM-219,BM-219,,0.14973582300182697
SIM_001,165,PAIR_00165,BF-242,BM-219,BM-219,,0.1397009443711754
SIM_001,166,PAIR_00166,BM-239,BM-212,BM-212,,0.8209368081505211
SIM_001,167,PAIR_00167,BM-224,BM-231,BM-231,,0.455527110474699
SIM_001,168,PAIR_00168,BF-255,BM-221,BM-221,,0.664724591609599
SIM_001,169,PAIR_00169,BM-214,BM-211,BM-211,,0.3073102650961119
SIM_001,170,PAIR_00170,BM-225,BM-237,BM-237,,0.6279144817815363
SIM_001,171,PAIR_00171,BM-236,BM-223,BM-223,,0.6802741559998849
SIM_001,172,PAIR_00172,BM-217,BM-229,BM-229,,0.33890413853700446
SIM_001,173,PAIR_00173,BM-227,BM-216,BM-227,,0.7099726993206014
SIM_001,174,PAIR_00174,BM-213,BM-228,BM-228,,0.22231027439100884
SIM_001,175,PAIR_00175,BM-218,BF-007,BM-218,,0.6398425641938011
SIM_001,176,PAIR_00176,BM-216,BF-007,BF-007,,0.4203057864236588
SIM_001,177,PAIR_00177,BM-226,BM-217,BM-217,,0.47356500376324917
SIM_001,178,PAIR_00178,BF-255,BM-219,BF-255,,0.4931652408467495
SIM_001,179,PAIR_00179,BM-223,BM-231,BM-223,,0.7592256577132775
SIM_001,180,PAIR_00180,BM-213,BM-239,BM-239,,0.2944534790660408
SIM_001,181,PAIR_00181,BM-214,BM-227,BM-214,,0.3206884215984604
SIM_001,182,PAIR_00182,BM-212,BM-237,BM-237,,0.1422769554917922
SIM_001,183,PAIR_00183,BM-218,BM-224,BM-218,,0.8505206503266772
SIM_001,184,PAIR_00184,BM-228,BM-222,BM-222,,0.23556193822118957
SIM_001,185,PAIR_00185,BF-242,BM-225,BM-225,,0.19643367405875783
SIM_001,186,PAIR_00186,BM-215,BM-221,BM-215,,0.40557872439933085
SIM_001,187,PAIR_00187,BM-229,BM-211,BM-211,,0.2450060041102735
SIM_001,188,PAIR_00188,BM-236,BM-215,BM-236,,0.8232878750346994
SIM_001,189,PAIR_00189,BM-217,BM-236,BM-236,,0.11149254937650074
SIM_001,190,PAIR_00190,BM-213,BF-007,BF-007,,0.1670199276460357
SIM_001,191,PAIR_00191,BF-242,BM-223,BM-223,,0.181310561075186
SIM_001,192,PAIR_00192,BM-212,BM-211,BM-211,,0.05257037532846488
SIM_001,193,PAIR_00193,BM-224,BM-216,BM-216,,0.30101034586316194
SIM_001,194,PAIR_00194,BM-228,BM-229,BM-228,,0.5336830207039965
SIM_001,195,PAIR_00195,BM-237,BM-226,BM-237,,0.6909048845448961
SIM_001,196,PAIR_00196,BM-218,BF-255,BM-218,,0.5321921015517458
SIM_001,197,PAIR_00197,BM-221,BM-227,BM-221,,0.3073751326137769
SIM_001,198,PAIR_00198,BM-219,BM-225,BM-225,,0.6008579426588972
SIM_001,199,PAIR_00199,BM-239,BM-214,BM-214,,0.36443452115951475
SIM_001,200,PAIR_00200,BM-231,BM-222,BM-222,,0.14085935233764144
SIM_001,201,PAIR_00201,BM-215,BM-217,BM-217,,0.6310680135639577
SIM_001,202,PAIR_00202,BM-222,BM-224,BM-222,,0.8793759336275948
SIM_001,203,PAIR_00203,BF-255,BM-214,BF-255,,0.6508120994774664
SIM_001,204,PAIR_00204,BM-228,BM-219,BM-219,,0.3041278356745797
SIM_001,205,PAIR_00205,BM-229,BM-221,BM-221,,0.437603698557496
SIM_001,206,PAIR_00206,BM-226,BM-218,BM-218,,0.13725477278924952
SIM_001,207,PAIR_00207,BM-225,BM-216,BM-216,,0.5952114627748064
SIM_001,208,PAIR_00208,BM-211,BM-237,BM-211,,0.7493397780868819
SIM_001,209,PAIR_00209,BM-239,BM-231,BM-239,,0.5628167694682431
SIM_001,210,PAIR_00210,BM-213,BM-236,BM-236,,0.07414322575223149
SIM_001,211,PAIR_00211,BF-007,BF-242,BF-242,,0.793261986734821
SIM_001,212,PAIR_00212,BM-212,BM-223,BM-223,,0.08176947027292372
SIM_001,213,PAIR_00213,BM-227,BM-211,BM-211,,0.48447638700912915
SIM_001,214,PAIR_00214,BM-216,BM-217,BM-217,,0.6976733103767735
SIM_001,215,PAIR_00215,BM-219,BM-227,BM-227,,0.4748566345512353
SIM_001,216,PAIR_00216,BM-214,BM-218,BM-214,,0.3204820085092622
SIM_001,217,PAIR_00217,BM-237,BM-215,BM-237,,0.5403404035999196
SIM_001,218,PAIR_00218,BM-236,BM-226,BM-236,,0.8985689276258495
SIM_001,219,PAIR_00219,BM-224,BM-228,BM-228,,0.30802549607309854
SIM_001,220,PAIR_00220,BM-231,BF-242,BM-231,,0.5888115508887632
SIM_001,221,PAIR_00221,BM-225,BF-255,BM-225,,0.4057168439867916
SIM_001,222,PAIR_00222,BM-221,BF-007,BF-007,,0.44061009653969924
SIM_001,223,PAIR_00223,BM-212,BM-229,BM-229,,0.1460189214358076
SIM_001,224,PAIR_00224,BM-222,BM-239,BM-222,,0.8257166177944669
SIM_001,225,PAIR_00225,BM-223,BM-213,BM-223,,0.8544189721459678
SIM_001,226,PAIR_00226,BM-221,BM-228,BM-221,,0.5289567135647587
SIM_001,227,PAIR_00227,BM-215,BF-007,BF-007,,0.34956322046724636
SIM_001,228,PAIR_00228,BF-255,BM-231,BF-255,,0.8071163599244839
SIM_001,229,PAIR_00229,BM-219,BM-223,BM-223,,0.5769542374218426
SIM_001,230,PAIR_00230,BM-218,BM-213,BM-218,,0.8985829210390318
SIM_001,231,PAIR_00231,BM-226,BM-216,BM-216,,0.2804800925353363
SIM_001,232,PAIR_00232,BM-225,BM-214,BM-214,,0.5599379861217109
SIM_001,233,PAIR_00233,BM-227,BM-229,BM-227,,0.7433230907449867
SIM_001,234,PAIR_00234,BM-224,BM-239,BM-239,,0.3938960078122809
SIM_001,235,PAIR_00235,BM-212,BM-217,BM-217,,0.2501164607503142
SIM_001,236,PAIR_00236,BM-236,BM-237,BM-236,,0.7985201491919167
SIM_001,237,PAIR_00237,BM-211,BF-242,BM-211,,0.8787396547598036
SIM_001,238,PAIR_00238,BM-218,BM-222,BM-222,,0.43835442419306125
SIM_001,239,PAIR_00239,BM-227,BM-222,BM-227,,0.4381211207784558
SIM_001,240,PAIR_00240,BM-229,BF-242,BM-229,,0.7016404399947652
SIM_001,241,PAIR_00241,BM-211,BM-231,BM-211,,0.8350011035534172
SIM_001,242,PAIR_00242,BM-213,BM-225,BM-225,,0.15830018632255818
SIM_001,243,PAIR_00243,BM-228,BF-255,BF-255,,0.3099448578523684
SIM_001,244,PAIR_00244,BM-223,BM-226,BM-226,,0.8063385161216202
SIM_001,245,PAIR_00245,BM-212,BM-215,BM-215,,0.1631748808952223
SIM_001,246,PAIR_00246,BM-221,BM-237,BM-221,,0.5549175947981636
SIM_001,247,PAIR_00247,BM-219,BM-239,BM-219,,0.7696116648813172
SIM_001,248,PAIR_00248,BM-216,BM-214,BM-214,,0.46390252138950805
SIM_001,249,PAIR_00249,BM-236,BM-224,BM-236,,0.8891249417513256
SIM_001,250,PAIR_00250,BM-217,BF-007,BF-007,,0.23907435981385444
SIM_001,251,PAIR_00251,BM-212,BM-228,BM-228,,0.1299829775347618
SIM_001,252,PAIR_00252,BM-217,BM-225,BM-225,,0.22762076888279198
SIM_001,253,PAIR_00253,BM-236,BM-219,BM-236,,0.6093901347663366
SIM_001,254,PAIR_00254,BM-218,BF-242,BM-218,,0.872069511853059
SIM_001,255,PAIR_00255,BM-226,BM-214,BM-214,,0.2522358602332104
SIM_001,256,PAIR_00256,BF-255,BM-213,BF-255,,0.886213166818921
SIM_001,257,PAIR_00257,BM-227,BM-239,BM-227,,0.7869735199346419
SIM_001,258,PAIR_00258,BM-229,BM-222,BM-222,,0.21213505355168763
SIM_001,259,PAIR_00259,BM-224,BM-223,BM-223,,0.20968887622430654
SIM_001,260,PAIR_00260,BM-216,BM-231,BM-216,,0.6601871626425073
SIM_001,261,PAIR_00261,BM-211,BF-007,BF-007,,0.6538142109888488
SIM_001,262,PAIR_00262,BM-215,BM-222,BM-222,,0.19100644193377725
SIM_001,263,PAIR_00263,BM-237,BM-218,BM-218,,0.2623233935218685
SIM_001,264,PAIR_00264,BM-221,BM-217,BM-221,,0.7148535166790715
SIM_001,265,PAIR_00265,BM-231,BM-237,BM-231,,0.3713569069910973
SIM_001,266,PAIR_00266,BM-228,BM-226,BM-228,,0.7127866217890074
SIM_001,267,PAIR_00267,BM-236,BM-221,BM-236,,0.7606981020969623
SIM_001,268,PAIR_00268,BM-239,BM-215,BM-239,,0.4720079919409225
SIM_001,269,PAIR_00269,BM-216,BM-211,BM-211,,0.27740590065037546
SIM_001,270,PAIR_00270,BF-255,BF-242,BF-255,,0.8569806375300371
SIM_001,271,PAIR_00271,BM-223,BM-214,BM-214,,0.5841101020402096
SIM_001,272,PAIR_00272,BM-225,BF-007,BF-007,,0.5160029583577592
SIM_001,273,PAIR_00273,BM-229,BM-219,BM-219,,0.2763470748582293
SIM_001,274,PAIR_00274,BM-213,BM-224,BM-213,,0.3910532598856224
SIM_001,275,PAIR_00275,BF-007,BM-227,BF-007,,0.3603758504743594
SIM_001,276,PAIR_00276,BM-236,BM-212,BM-236,,0.959827717024812
SIM_001,277,PAIR_00277,BM-237,BM-224,BM-237,,0.6692429390672207
SIM_001,278,PAIR_00278,BF-242,BM-216,BM-216,,0.2644078645825088
SIM_001,279,PAIR_00279,BM-215,BM-227,BM-227,,0.23242066634806705
SIM_001,280,PAIR_00280,BM-212,BM-221,BM-221,,0.11742272550174405
SIM_001,281,PAIR_00281,BM-231,BM-225,BM-225,,0.25928649124739844
SIM_001,282,PAIR_00282,BM-226,BM-222,BM-226,,0.11045284726338489
SIM_001,283,PAIR_00283,BM-217,BM-213,BM-217,,0.6104336905348509
SIM_001,284,PAIR_00284,BM-239,BM-229,BM-229,,0.4394325204751498
SIM_001,285,PAIR_00285,BF-255,BM-223,BF-255,,0.5702673104810158
SIM_001,286,PAIR_00286,BM-228,BM-211,BM-228,,0.27081518045009806
SIM_001,287,PAIR_00287,BM-222,BM-214,BM-214,,0.7309407531975411
SIM_001,288,PAIR_00288,BM-219,BM-215,BM-219,,0.7491406879013857
SIM_001,289,PAIR_00289,BM-218,BM-231,BM-218,,0.8264003448400584
SIM_001,290,PAIR_00290,BM-223,BM-217,BM-223,,0.7892737414758372
SIM_001,291,PAIR_00291,BM-216,BM-228,BM-216,,0.5082804312428928
SIM_001,292,PAIR_00292,BM-224,BF-255,BM-224,,0.16662420623664836
SIM_001,293,PAIR_00293,BM-226,BM-229,BM-229,,0.3156100905346744
SIM_001,294,PAIR_00294,BM-237,BM-219,BM-219,,0.28245398664576415
SIM_001,295,PAIR_00295,BF-242,BM-212,BF-242,,0.7132151985625615
SIM_001,296,PAIR_00296,BM-225,BM-227,BM-227,,0.37526396834976317
SIM_001,297,PAIR_00297,BM-214,BM-221,BM-214,,0.5154475086916739
SIM_001,298,PAIR_00298,BM-218,BM-236,BM-236,,0.4150461190579815
SIM_001,299,PAIR_00299,BM-211,BM-213,BM-211,,0.9040228264809127
SIM_001,300,PAIR_00300,BF-007,BM-239,BF-007,,0.6754730993723337
SIM_002,1,PAIR_00001,BM-216,BM-221,BM-216,,0.47930386809454184
SIM_002,2,PAIR_00002,BM-239,BM-228,BM-228,,0.4065123944074379
SIM_002,3,PAIR_00003,BF-007,BM-229,BM-229,,0.620007354928767
SIM_002,4,PAIR_00004,BM-212,BM-227,BM-227,,0.055751477219154306
SIM_002,5,PAIR_00005,BM-223,BM-222,BM-222,,0.34079984699266824
SIM_002,6,PAIR_00006,BF-242,BM-237,BF-242,,0.2920487232935015
SIM_002,7,PAIR_00007,BM-213,BM-231,BM-231,,0.3494972203862205
SIM_002,8,PAIR_00008,BM-225,BM-236,BM-225,,0.2986383072115851
SIM_002,9,PAIR_00009,BM-226,BM-215,BM-226,,0.3446500059286485
SIM_002,10,PAIR_00010,BM-218,BM-211,BM-218,,0.48471308048957706
SIM_002,11,PAIR_00011,BM-219,BM-217,BM-219,,0.836284111455051
SIM_002,12,PAIR_00012,BM-214,BM-224,BM-224,,0.7285212378857929
SIM_002,13,PAIR_00013,BF-255,BM-215,BM-215,,0.7439676574531842
SIM_002,14,PAIR_00014,BM-222,BM-236,BM-222,,0.47619298251945674
SIM_002,15,PAIR_00015,BM-224,BF-007,BF-007,,0.2379394939340924
SIM_002,16,PAIR_00016,BM-228,BM-223,BM-228,,0.37345215256477066
SIM_002,17,PAIR_00017,BM-221,BM-231,BM-221,,0.6785159906769078
SIM_002,18,PAIR_00018,BM-212,BF-255,BF-255,,0.06288570486356526
SIM_002,19,PAIR_00019,BM-213,BM-229,BM-229,,0.24650926495140532
SIM_002,20,PAIR_00020,BF-242,BM-214,BM-214,,0.23724843950996033
SIM_002,21,PAIR_00021,BM-218,BM-227,BM-218,,0.5002369183711579
SIM_002,22,PAIR_00022,BM-219,BM-211,BM-211,,0.459396414456364
SIM_002,23,PAIR_00023,BM-216,BM-239,BM-239,,0.6014538878382059
SIM_002,24,PAIR_00024,BM-225,BM-226,BM-225,,0.7904488994507026
SIM_002,25,PAIR_00025,BM-217,BM-237,BM-217,,0.3321416766402924
SIM_002,26,PAIR_00026,BM-228,BF-242,BM-228,,0.7290994168484117
SIM_002,27,PAIR_00027,BM-226,BF-007,BF-007,,0.22035484969150645
SIM_002,28,PAIR_00028,BM-218,BM-216,BM-218,,0.7101677973349876
SIM_002,29,PAIR_00029,BM-237,BM-213,BM-237,,0.7590814226534237
SIM_002,30,PAIR_00030,BM-231,BM-236,BM-236,,0.12971614300494108
SIM_002,31,PAIR_00031,BM-211,BM-225,BM-225,,0.6391816251210418
SIM_002,32,PAIR_00032,BM-224,BM-229,BM-229,,0.3375055782864029
SIM_002,33,PAIR_00033,BM-221,BM-219,BM-219,,0.3292097878666537
SIM_002,34,PAIR_00034,BM-215,BM-214,BM-215,,0.3907685043566045
SIM_002,35,PAIR_00035,BM-239,BM-223,BM-223,,0.2899067120138933
SIM_002,36,PAIR_00036,BM-217,BF-255,BF-255,,0.16749368987613308
SIM_002,37,PAIR_00037,BM-222,BM-212,BM-222,,0.9559877205776918
SIM_002,38,PAIR_00038,BM-236,BM-227,BM-236,,0.5851839412783998
SIM_002,39,PAIR_00039,BM-217,BM-214,BM-214,,0.27271634835576414
