pair_id,model_left,model_right,pair_order
PAIR_00065,BM-226,BM-227,65
PAIR_00066,BM-215,BM-216,66
PAIR_00067,BM-213,BM-214,67
PAIR_00068,BM-222,BM-217,68
PAIR_00069,BM-225,BM-218,69
PAIR_00070,BM-223,BF-007,70
PAIR_00071,BM-239,BM-211,71
PAIR_00072,BM-236,BF-255,72
PAIR_00073,BM-212,BM-219,73
PAIR_00074,BM-231,BM-228,74
PAIR_00075,BM-224,BM-221,75
PAIR_00076,BM-221,BF-242,76
PAIR_00077,BM-222,BM-219,77
PAIR_00078,BM-224,BM-226,78
PAIR_00079,BM-212,BM-214,79
PAIR_00080,BF-007,BM-237,80
PAIR_00081,BM-211,BM-217,81
PAIR_00082,BM-228,BM-225,82
PAIR_00083,BM-213,BM-216,83
PAIR_00084,BM-223,BM-215,84
PAIR_00085,BM-231,BM-227,85
PAIR_00086,BM-239,BF-255,86
PAIR_00087,BM-229,BM-236,87
PAIR_00088,BM-219,BM-218,88
PAIR_00089,BM-229,BM-214,89
PAIR_00090,BM-213,BM-221,90
PAIR_00091,BM-224,BM-215,91
PAIR_00092,BM-212,BM-226,92
PAIR_00093,BM-237,BM-227,93
PAIR_00094,BM-217,BF-242,94
PAIR_00095,BM-223,BM-218,95
PAIR_00096,BF-255,BM-216,96
PAIR_00097,BM-222,BM-211,97
PAIR_00098,BM-231,BF-007,98
PAIR_00099,BM-239,BM-225,99
PAIR_00100,BM-228,BM-236,100
PAIR_00101,BM-211,BM-226,101
PAIR_00102,BF-007,BM-219,102
PAIR_00103,BM-236,BM-214,103
PAIR_00104,BF-242,BM-213,104
PAIR_00105,BF-255,BM-222,105
PAIR_00106,BM-212,BM-218,106
PAIR_00107,BM-231,BM-215,107
PAIR_00108,BM-228,BM-227,108
PAIR_00109,BM-223,BM-216,109
PAIR_00110,BM-237,BM-239,110
PAIR_00111,BM-229,BM-225,111
PAIR_00112,BM-224,BM-217,112
PAIR_00113,BM-225,BM-221,113
PAIR_00114,BM-214,BM-231,114
PAIR_00115,BM-229,BM-223,115
PAIR_00116,BF-242,BM-215,116
PAIR_00117,BM-213,BM-226,117
PAIR_00118,BM-216,BM-219,118
PAIR_00119,BM-237,BM-222,119
PAIR_00120,BM-211,BM-221,120
PAIR_00121,BM-217,BM-228,121
PAIR_00122,BM-212,BM-224,122
PAIR_00123,BM-239,BM-218,123
PAIR_00124,BM-227,BF-255,124
PAIR_00125,BM-236,BF-007,125
PAIR_00126,BM-223,BM-211,126
PAIR_00127,BM-231,BM-212,127
PAIR_00128,BM-219,BM-214,128
PAIR_00129,BM-236,BF-242,129
PAIR_00130,BM-213,BM-222,130
PAIR_00131,BM-226,BM-221,131
PAIR_00132,BF-007,BF-255,132
PAIR_00133,BM-216,BM-237,133
PAIR_00134,BM-239,BM-217,134
PAIR_00135,BM-215,BM-225,135
PAIR_00136,BM-229,BM-218,136
PAIR_00137,BM-224,BM-227,137
PAIR_00138,BM-228,BF-007,138
PAIR_00139,BM-216,BM-236,139
PAIR_00140,BM-218,BM-217,140
PAIR_00141,BM-231,BM-229,141
PAIR_00142,BM-237,BM-214,142
PAIR_00143,BF-242,BM-227,143
PAIR_00144,BM-219,BM-224,144
PAIR_00145,BM-211,BF-255,145
PAIR_00146,BM-225,BM-223,146
PAIR_00147,BM-222,BM-221,147
PAIR_00148,BM-212,BM-213,148
PAIR_00149,BM-239,BM-226,149
PAIR_00150,BM-228,BM-215,150
PAIR_00151,BM-226,BM-231,151
PAIR_00152,BM-217,BM-227,152
PAIR_00153,BM-239,BM-236,153
PAIR_00154,BF-255,BM-229,154
PAIR_00155,BM-237,BM-223,155
PAIR_00156,BM-224,BM-225,156
PAIR_00157,BM-222,BF-242,157
PAIR_00158,BM-211,BM-215,158
PAIR_00159,BM-214,BM-228,159
PAIR_00160,BF-007,BM-212,160
PAIR_00161,BM-221,BM-218,161
PAIR_00162,BM-213,BM-215,162
PAIR_00163,BM-222,BM-216,163
PAIR_00164,BM-226,BM-219,164
PAIR_00165,BF-242,BM-219,165
PAIR_00166,BM-239,BM-212,166
PAIR_00167,BM-224,BM-231,167
PAIR_00168,BF-255,BM-221,168
PAIR_00169,BM-214,BM-211,169
PAIR_00170,BM-225,BM-237,170
PAIR_00171,BM-236,BM-223,171
PAIR_00172,BM-217,BM-229,172
PAIR_00173,BM-227,BM-216,173
PAIR_00174,BM-213,BM-228,174
PAIR_00175,BM-218,BF-007,175
PAIR_00176,BM-216,BF-007,176
PAIR_00177,BM-226,BM-217,177
PAIR_00178,BF-255,BM-219,178
PAIR_00179,BM-223,BM-231,179
PAIR_00180,BM-213,BM-239,180
PAIR_00181,BM-214,BM-227,181
PAIR_00182,BM-212,BM-237,182
PAIR_00183,BM-218,BM-224,183
PAIR_00184,BM-228,BM-222,184
PAIR_00185,BF-242,BM-225,185
PAIR_00186,BM-215,BM-221,186
PAIR_00187,BM-229,BM-211,187
PAIR_00188,BM-236,BM-215,188
PAIR_00189,BM-217,BM-236,189
PAIR_00190,BM-213,BF-007,190
PAIR_00191,BF-242,BM-223,191
PAIR_00192,BM-212,BM-211,192
PAIR_00193,BM-224,BM-216,193
PAIR_00194,BM-228,BM-229,194
PAIR_00195,BM-237,BM-226,195
PAIR_00196,BM-218,BF-255,196
PAIR_00197,BM-221,BM-227,197
PAIR_00198,BM-219,BM-225,198
PAIR_00199,BM-239,BM-214,199
PAIR_00200,BM-231,BM-222,200
PAIR_00201,BM-215,BM-217,201
PAIR_00202,BM-222,BM-224,202
PAIR_00203,BF-255,BM-214,203
PAIR_00204,BM-228,BM-219,204
PAIR_00205,BM-229,BM-221,205
PAIR_00206,BM-226,BM-218,206
PAIR_00207,BM-225,BM-216,207
PAIR_00208,BM-211,BM-237,208
PAIR_00209,BM-239,BM-231,209
PAIR_00210,BM-213,BM-236,210
PAIR_00211,BF-007,BF-242,211
PAIR_00212,BM-212,BM-223,212
PAIR_00213,BM-227,BM-211,213
PAIR_00214,BM-216,BM-217,214
PAIR_00215,BM-219,BM-227,215
PAIR_00216,BM-214,BM-218,216
PAIR_00217,BM-237,BM-215,217
PAIR_00218,BM-236,BM-226,218
PAIR_00219,BM-224,BM-228,219
PAIR_00220,BM-231,BF-242,220
PAIR_00221,BM-225,BF-255,221
PAIR_00222,BM-221,BF-007,222
PAIR_00223,BM-212,BM-229,223
PAIR_00224,BM-222,BM-239,224
PAIR_00225,BM-223,BM-213,225
PAIR_00226,BM-221,BM-228,226
PAIR_00227,BM-215,BF-007,227
PAIR_00228,BF-255,BM-231,228
PAIR_00229,BM-219,BM-223,229
PAIR_00230,BM-218,BM-213,230
PAIR_00231,BM-226,BM-216,231
PAIR_00232,BM-225,BM-214,232
PAIR_00233,BM-227,BM-229,233
PAIR_00234,BM-224,BM-239,234
PAIR_00235,BM-212,BM-217,235
PAIR_00236,BM-236,BM-237,236
PAIR_00237,BM-211,BF-242,237
PAIR_00238,BM-218,BM-222,238
PAIR_00239,BM-227,BM-222,239
PAIR_00240,BM-229,BF-242,240
PAIR_00241,BM-211,BM-231,241
PAIR_00242,BM-213,BM-225,242
PAIR_00243,BM-228,BF-255,243
PAIR_00244,BM-223,BM-226,244
PAIR_00245,BM-212,BM-215,245
PAIR_00246,BM-221,BM-237,246
PAIR_00247,BM-219,BM-239,247
PAIR_00248,BM-216,BM-214,248
PAIR_00249,BM-236,BM-224,249
PAIR_00250,BM-217,BF-007,250
PAIR_00251,BM-212,BM-228,251
PAIR_00252,BM-217,BM-225,252
PAIR_00253,BM-236,BM-219,253
PAIR_00254,BM-218,BF-242,254
PAIR_00255,BM-226,BM-214,255
PAIR_00256,BF-255,BM-213,256
PAIR_00257,BM-227,BM-239,257
PAIR_00258,BM-229,BM-222,258
PAIR_00259,BM-224,BM-223,259
PAIR_00260,BM-216,BM-231,260
PAIR_00261,BM-211,BF-007,261
PAIR_00262,BM-215,BM-222,262
PAIR_00263,BM-237,BM-218,263
PAIR_00264,BM-221,BM-217,264
PAIR_00265,BM-231,BM-237,265
PAIR_00266,BM-228,BM-226,266
PAIR_00267,BM-236,BM-221,267
PAIR_00268,BM-239,BM-215,268
PAIR_00269,BM-216,BM-211,269
PAIR_00270,BF-255,BF-242,270
PAIR_00271,BM-223,BM-214,271
PAIR_00272,BM-225,BF-007,272
PAIR_00273,BM-229,BM-219,273
PAIR_00274,BM-213,BM-224,274
PAIR_00275,BF-007,BM-227,275
PAIR_00276,BM-236,BM-212,276
PAIR_00277,BM-237,BM-224,277
PAIR_00278,BF-242,BM-216,278
PAIR_00279,BM-215,BM-227,279
PAIR_00280,BM-212,BM-221,280
PAIR_00281,BM-231,BM-225,281
PAIR_00282,BM-226,BM-222,282
PAIR_00283,BM-217,BM-213,283
PAIR_00284,BM-239,BM-229,284
PAIR_00285,BF-255,BM-223,285
PAIR_00286,BM-228,BM-211,286
PAIR_00287,BM-222,BM-214,287
PAIR_00288,BM-219,BM-215,288
PAIR_00289,BM-218,BM-231,289
PAIR_00290,BM-223,BM-217,290
PAIR_00291,BM-216,BM-228,291
PAIR_00292,BM-224,BF-255,292
PAIR_00293,BM-226,BM-229,293
PAIR_00294,BM-237,BM-219,294
PAIR_00295,BF-242,BM-212,295
PAIR_00296,BM-225,BM-227,296
PAIR_00297,BM-214,BM-221,297
PAIR_00298,BM-218,BM-236,298
PAIR_00299,BM-211,BM-213,299
PAIR_00300,BF-007,BM-239,300
