face_id,gender_self,ethnicity_self,age_self,asian_prob,chinese_asian_prob,japanese_asian_prob,indian_asian_prob,other_asian_prob,middle_eastern_prob,black_prob,latino_prob,multi_prob,other_prob,white_prob,ethnicity_perceived,ethnicity_perceived_probability,ethnicity_perceived_available
AF-246,F,A,,0.962962963,,,,,,0.0,0.0,0.0,0.0,0.037037037,Asian,0.962962963,True
AF-247,F,A,,0.857142857,,,,,,0.0,0.0,0.107142857,0.035714286,0.0,Asian,0.857142857,True
AF-248,F,A,,0.724137931,,,,,,0.0,0.068965517,0.172413793,0.034482759,0.0,Asian,0.724137931,True
AF-249,F,A,,0.84,,,,,,0.0,0.04,0.08,0.04,0.0,Asian,0.84,True
AF-250,F,A,,0.586206897,,,,,,0.0,0.068965517,0.275862069,0.068965517,0.0,Asian,0.586206897,True
AF-251,F,A,,0.357142857,,,,,,0.071428571,0.0,0.535714286,0.035714286,0.0,Multiracial,0.535714286,True
AF-252,F,A,,0.862068966,,,,,,0.0,0.068965517,0.068965517,0.0,0.0,Asian,0.862068966,True
AF-253,F,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Asian,1.0,True
AF-254,F,A,,0.92,,,,,,0.0,0.08,0.0,0.0,0.0,Asian,0.92,True
AF-255,F,A,,0.958333333,,,,,,0.0,0.0,0.041666667,0.0,0.0,Asian,0.958333333,True
AF-256,F,A,,0.863636364,,,,,,0.0,0.0,0.090909091,0.045454545,0.0,Asian,0.863636364,True
AM-201,M,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Asian,1.0,True
AM-202,M,A,,0.846153846,,,,,,0.0,0.038461538,0.076923077,0.038461538,0.0,Asian,0.846153846,True
AM-203,M,A,,0.958333333,,,,,,0.0,0.0,0.041666667,0.0,0.0,Asian,0.958333333,True
AM-204,M,A,,0.583333333,,,,,,0.0,0.083333333,0.291666667,0.041666667,0.0,Asian,0.583333333,True
AM-205,M,A,,0.958333333,,,,,,0.0,0.0,0.041666667,0.0,0.0,Asian,0.958333333,True
AM-206,M,A,,0.857142857,,,,,,0.0,0.071428571,0.071428571,0.0,0.0,Asian,0.857142857,True
AM-207,M,A,,0.958333333,,,,,,0.0,0.0,0.041666667,0.0,0.0,Asian,0.958333333,True
AM-208,M,A,,0.607142857,,,,,,0.0,0.25,0.071428571,0.035714286,0.035714286,Asian,0.607142857,True
AM-209,M,A,,0.964285714,,,,,,0.0,0.0,0.035714286,0.0,0.0,Asian,0.964285714,True
AM-210,M,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Asian,1.0,True
AM-211,M,A,,0.5,,,,,,0.0,0.178571429,0.25,0.071428571,0.0,Asian,0.5,True
AM-212,M,A,,0.37037037,,,,,,0.0,0.333333333,0.259259259,0.037037037,0.0,Asian,0.37037037,True
AM-213,M,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Asian,1.0,True
AM-214,M,A,,0.074074074,,,,,,0.037037037,0.259259259,0.222222222,0.407407407,0.0,Other,0.407407407,True
AM-215,M,A,,0.962962963,,,,,,0.0,0.037037037,0.0,0.0,0.0,Asian,0.962962963,True
AM-216,M,A,,0.6,,,,,,0.0,0.12,0.24,0.0,0.04,Asian,0.6,True
AM-217,M,A,,0.538461538,,,,,,0.0,0.076923077,0.307692308,0.038461538,0.038461538,Asian,0.538461538,True
AM-218,M,A,,0.785714286,,,,,,0.0,0.107142857,0.071428571,0.0,0.035714286,Asian,0.785714286,True
AM-219,M,A,,0.633333333,,,,,,0.0,0.1,0.166666667,0.1,0.0,Asian,0.633333333,True
AM-220,M,A,,0.551724138,,,,,,0.0,0.24137931,0.172413793,0.034482759,0.0,Asian,0.551724138,True
AM-221,M,A,,0.961538462,,,,,,0.0,0.038461538,0.0,0.0,0.0,Asian,0.961538462,True
AM-223,M,A,,0.851851852,,,,,,0.0,0.037037037,0.111111111,0.0,0.0,Asian,0.851851852,True
AM-224,M,A,,0.88,,,,,,0.0,0.04,0.04,0.04,0.0,Asian,0.88,True
AM-225,M,A,,0.72,,,,,,0.0,0.16,0.08,0.0,0.04,Asian,0.72,True
AM-226,M,A,,0.863636364,,,,,,0.0,0.045454545,0.045454545,0.0,0.045454545,Asian,0.863636364,True
AM-227,M,A,,0.923076923,,,,,,0.0,0.076923077,0.0,0.0,0.0,Asian,0.923076923,True
AM-228,M,A,,0.928571429,,,,,,0.0,0.071428571,0.0,0.0,0.0,Asian,0.928571429,True
AM-229,M,A,,0.923076923,,,,,,0.0,0.038461538,0.038461538,0.0,0.0,Asian,0.923076923,True
AM-230,M,A,,0.869565217,,,,,,0.0,0.086956522,0.043478261,0.0,0.0,Asian,0.869565217,True
AM-231,M,A,,0.931034483,,,,,,0.0,0.0,0.068965517,0.0,0.0,Asian,0.931034483,True
AM-232,M,A,,0.423076923,,,,,,0.0,0.384615385,0.153846154,0.038461538,0.0,Asian,0.423076923,True
AM-233,M,A,,0.678571429,,,,,,0.0,0.0,0.25,0.0,0.071428571,Asian,0.678571429,True
AM-234,M,A,,0.923076923,,,,,,0.0,0.038461538,0.038461538,0.0,0.0,Asian,0.923076923,True
AM-235,M,A,,0.04,,,,,,0.04,0.68,0.2,0.04,0.0,Latino,0.68,True
AM-236,M,A,,0.892857143,,,,,,0.0,0.071428571,0.035714286,0.0,0.0,Asian,0.892857143,True
AM-237,M,A,,0.923076923,,,,,,0.0,0.0,0.076923077,0.0,0.0,Asian,0.923076923,True
AM-238,M,A,,0.961538462,,,,,,0.0,0.0,0.0,0.0,0.038461538,Asian,0.961538462,True
AM-239,M,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Asian,1.0,True
AM-240,M,A,,0.961538462,,,,,,0.0,0.0,0.038461538,0.0,0.0,Asian,0.961538462,True
AM-241,M,A,,0.884615385,,,,,,0.0,0.0,0.076923077,0.0,0.038461538,Asian,0.884615385,True
AM-242,M,A,,0.96,,,,,,0.0,0.0,0.04,0.0,0.0,Asian,0.96,True
AM-243,M,A,,0.44,,,,,,0.0,0.32,0.2,0.0,0.04,Asian,0.44,True
AM-244,M,A,,0.107142857,,,,,,0.0,0.321428571,0.428571429,0.071428571,0.071428571,Multiracial,0.428571429,True
AM-245,M,A,,0.384615385,,,,,,0.0,0.346153846,0.192307692,0.076923077,0.0,Asian,0.384615385,True
AM-246,M,A,,0.928571429,,,,,,0.0,0.035714286,0.0,0.0,0.035714286,Asian,0.928571429,True
AM-247,M,A,,0.458333333,,,,,,0.0,0.375,0.125,0.041666667,0.0,Asian,0.458333333,True
AM-248,M,A,,0.923076923,,,,,,0.0,0.038461538,0.038461538,0.0,0.0,Asian,0.923076923,True
AM-249,M,A,,0.875,,,,,,0.0,0.041666667,0.083333333,0.0,0.0,Asian,0.875,True
AM-250,M,A,,0.846153846,,,,,,0.0,0.076923077,0.038461538,0.0,0.038461538,Asian,0.846153846,True
AM-251,M,A,,0.961538462,,,,,,0.0,0.0,0.038461538,0.0,0.0,Asian,0.961538462,True
AM-252,M,A,,0.8,,,,,,0.0,0.0,0.2,0.0,0.0,Asian,0.8,True
AM-253,M,A,,0.620689655,,,,,,0.0,0.206896552,0.137931034,0.0,0.034482759,Asian,0.620689655,True
BF-001,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-002,F,B,,0.0,,,,,,0.978494624,0.0,0.010752688,0.010752688,0.0,Black,0.978494624,True
BF-003,F,B,,0.011235955,,,,,,0.606741573,0.134831461,0.06741573,0.168539326,0.011235955,Black,0.606741573,True
BF-004,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-005,F,B,,0.0,,,,,,0.813186813,0.076923077,0.054945055,0.054945055,0.0,Black,0.813186813,True
BF-006,F,B,,0.010526316,,,,,,0.957894737,0.010526316,0.0,0.021052632,0.0,Black,0.957894737,True
BF-007,F,B,,0.0,,,,,,0.97826087,0.0,0.010869565,0.010869565,0.0,Black,0.97826087,True
BF-008,F,B,,0.0,,,,,,0.988505747,0.011494253,0.0,0.0,0.0,Black,0.988505747,True
BF-009,F,B,,0.010752688,,,,,,0.956989247,0.010752688,0.010752688,0.010752688,0.0,Black,0.956989247,True
BF-010,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-011,F,B,,0.0,,,,,,0.978723404,0.010638298,0.010638298,0.0,0.0,Black,0.978723404,True
BF-012,F,B,,0.0,,,,,,0.946808511,0.0,0.010638298,0.042553191,0.0,Black,0.946808511,True
BF-013,F,B,,0.010989011,,,,,,0.945054945,0.021978022,0.010989011,0.010989011,0.0,Black,0.945054945,True
BF-014,F,B,,0.0,,,,,,0.954022989,0.034482759,0.011494253,0.0,0.0,Black,0.954022989,True
BF-015,F,B,,0.010204082,,,,,,0.908163265,0.030612245,0.020408163,0.030612245,0.0,Black,0.908163265,True
BF-016,F,B,,0.011627907,,,,,,0.930232558,0.023255814,0.023255814,0.011627907,0.0,Black,0.930232558,True
BF-017,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-018,F,B,,0.0,,,,,,0.977777778,0.0,0.011111111,0.011111111,0.0,Black,0.977777778,True
BF-019,F,B,,0.0,,,,,,0.943820225,0.033707865,0.011235955,0.011235955,0.0,Black,0.943820225,True
BF-020,F,B,,0.0,,,,,,0.914893617,0.031914894,0.031914894,0.021276596,0.0,Black,0.914893617,True
BF-021,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-023,F,B,,0.0,,,,,,0.945652174,0.010869565,0.010869565,0.032608696,0.0,Black,0.945652174,True
BF-024,F,B,,0.0,,,,,,0.989010989,0.0,0.010989011,0.0,0.0,Black,0.989010989,True
BF-025,F,B,,0.0,,,,,,0.957446809,0.021276596,0.021276596,0.0,0.0,Black,0.957446809,True
BF-027,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-028,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-029,F,B,,0.0,,,,,,0.988764045,0.0,0.0,0.011235955,0.0,Black,0.988764045,True
BF-030,F,B,,0.0,,,,,,0.957894737,0.021052632,0.0,0.021052632,0.0,Black,0.957894737,True
BF-031,F,B,,0.010869565,,,,,,0.956521739,0.0,0.010869565,0.02173913,0.0,Black,0.956521739,True
BF-032,F,B,,0.0,,,,,,0.989583333,0.0,0.0,0.0,0.010416667,Black,0.989583333,True
BF-033,F,B,,0.0,,,,,,0.989361702,0.010638298,0.0,0.0,0.0,Black,0.989361702,True
BF-034,F,B,,0.010309278,,,,,,0.969072165,0.0,0.010309278,0.010309278,0.0,Black,0.969072165,True
BF-035,F,B,,0.0,,,,,,0.964705882,0.0,0.023529412,0.011764706,0.0,Black,0.964705882,True
BF-036,F,B,,0.0,,,,,,0.911111111,0.022222222,0.033333333,0.022222222,0.011111111,Black,0.911111111,True
BF-037,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-038,F,B,,0.0,,,,,,0.978723404,0.010638298,0.010638298,0.0,0.0,Black,0.978723404,True
BF-039,F,B,,0.0,,,,,,0.988888889,0.0,0.0,0.011111111,0.0,Black,0.988888889,True
BF-040,F,B,,0.0,,,,,,0.988505747,0.0,0.0,0.0,0.011494253,Black,0.988505747,True
BF-041,F,B,,0.0,,,,,,0.873684211,0.052631579,0.021052632,0.042105263,0.010526316,Black,0.873684211,True
BF-042,F,B,,0.011363636,,,,,,0.943181818,0.022727273,0.011363636,0.011363636,0.0,Black,0.943181818,True
BF-043,F,B,,0.0,,,,,,0.936170213,0.010638298,0.010638298,0.031914894,0.010638298,Black,0.936170213,True
BF-044,F,B,,0.0,,,,,,0.904255319,0.010638298,0.010638298,0.074468085,0.0,Black,0.904255319,True
BF-045,F,B,,0.0,,,,,,0.734042553,0.063829787,0.095744681,0.106382979,0.0,Black,0.734042553,True
BF-047,F,B,,0.0,,,,,,0.95505618,0.011235955,0.0,0.033707865,0.0,Black,0.95505618,True
BF-048,F,B,,0.0,,,,,,0.968085106,0.0,0.010638298,0.021276596,0.0,Black,0.968085106,True
BF-049,F,B,,0.010638298,,,,,,0.957446809,0.010638298,0.010638298,0.010638298,0.0,Black,0.957446809,True
BF-050,F,B,,0.0,,,,,,0.989583333,0.0,0.0,0.010416667,0.0,Black,0.989583333,True
BF-051,F,B,,0.011494253,,,,,,0.977011494,0.011494253,0.0,0.0,0.0,Black,0.977011494,True
BF-200,F,B,,0.0,,,,,,0.793103448,0.0,0.172413793,0.034482759,0.0,Black,0.793103448,True
BF-201,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-202,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-203,F,B,,0.0,,,,,,0.08,0.12,0.64,0.04,0.12,Multiracial,0.64,True
BF-204,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-205,F,B,,0.0,,,,,,0.964285714,0.0,0.035714286,0.0,0.0,Black,0.964285714,True
BF-206,F,B,,0.0,,,,,,0.964285714,0.0,0.035714286,0.0,0.0,Black,0.964285714,True
BF-207,F,B,,0.0,,,,,,0.214285714,0.285714286,0.5,0.0,0.0,Multiracial,0.5,True
BF-208,F,B,,0.0,,,,,,0.966666667,0.0,0.033333333,0.0,0.0,Black,0.966666667,True
BF-209,F,B,,0.0,,,,,,0.142857143,0.464285714,0.321428571,0.071428571,0.0,Latino,0.464285714,True
BF-210,F,B,,0.0,,,,,,0.962962963,0.0,0.037037037,0.0,0.0,Black,0.962962963,True
BF-211,F,B,,0.0,,,,,,0.851851852,0.0,0.148148148,0.0,0.0,Black,0.851851852,True
BF-212,F,B,,0.0,,,,,,0.92,0.0,0.08,0.0,0.0,Black,0.92,True
BF-213,F,B,,0.0,,,,,,0.814814815,0.037037037,0.148148148,0.0,0.0,Black,0.814814815,True
BF-214,F,B,,0.0,,,,,,0.846153846,0.0,0.153846154,0.0,0.0,Black,0.846153846,True
BF-215,F,B,,0.0,,,,,,0.966666667,0.0,0.0,0.033333333,0.0,Black,0.966666667,True
BF-216,F,B,,0.0,,,,,,0.607142857,0.035714286,0.357142857,0.0,0.0,Black,0.607142857,True
BF-217,F,B,,0.0,,,,,,0.965517241,0.0,0.034482759,0.0,0.0,Black,0.965517241,True
BF-218,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-219,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-220,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-221,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-222,F,B,,0.034482759,,,,,,0.896551724,0.0,0.068965517,0.0,0.0,Black,0.896551724,True
BF-223,F,B,,0.0,,,,,,0.954545455,0.0,0.045454545,0.0,0.0,Black,0.954545455,True
BF-224,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-225,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-226,F,B,,0.0,,,,,,0.925925926,0.0,0.074074074,0.0,0.0,Black,0.925925926,True
BF-227,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-228,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-229,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-230,F,B,,0.0,,,,,,0.923076923,0.0,0.076923077,0.0,0.0,Black,0.923076923,True
BF-231,F,B,,0.0,,,,,,0.962962963,0.0,0.0,0.037037037,0.0,Black,0.962962963,True
BF-232,F,B,,0.0,,,,,,0.925925926,0.0,0.074074074,0.0,0.0,Black,0.925925926,True
BF-233,F,B,,0.0,,,,,,0.884615385,0.0,0.115384615,0.0,0.0,Black,0.884615385,True
BF-234,F,B,,0.0,,,,,,0.851851852,0.074074074,0.074074074,0.0,0.0,Black,0.851851852,True
BF-235,F,B,,0.0,,,,,,0.965517241,0.0,0.034482759,0.0,0.0,Black,0.965517241,True
BF-236,F,B,,0.0,,,,,,0.068965517,0.517241379,0.206896552,0.068965517,0.137931034,Latino,0.517241379,True
BF-237,F,B,,0.035714286,,,,,,0.785714286,0.035714286,0.071428571,0.071428571,0.0,Black,0.785714286,True
BF-238,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-239,F,B,,0.0,,,,,,0.965517241,0.0,0.034482759,0.0,0.0,Black,0.965517241,True
BF-240,F,B,,0.0,,,,,,0.379310345,0.068965517,0.551724138,0.0,0.0,Multiracial,0.551724138,True
BF-241,F,B,,0.0,,,,,,0.964285714,0.0,0.035714286,0.0,0.0,Black,0.964285714,True
BF-242,F,B,,0.0,,,,,,0.884615385,0.0,0.115384615,0.0,0.0,Black,0.884615385,True
BF-243,F,B,,0.0,,,,,,0.96,0.0,0.04,0.0,0.0,Black,0.96,True
BF-244,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-245,F,B,,0.0,,,,,,0.964285714,0.0,0.0,0.035714286,0.0,Black,0.964285714,True
BF-246,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-247,F,B,,0.0,,,,,,0.925925926,0.0,0.074074074,0.0,0.0,Black,0.925925926,True
BF-248,F,B,,0.0,,,,,,0.964285714,0.0,0.035714286,0.0,0.0,Black,0.964285714,True
BF-249,F,B,,0.0,,,,,,0.961538462,0.0,0.038461538,0.0,0.0,Black,0.961538462,True
BF-250,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-251,F,B,,0.0,,,,,,0.925925926,0.0,0.074074074,0.0,0.0,Black,0.925925926,True
BF-252,F,B,,0.0,,,,,,0.913043478,0.0,0.086956522,0.0,0.0,Black,0.913043478,True
BF-253,F,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BF-254,F,B,,0.0,,,,,,0.740740741,0.0,0.259259259,0.0,0.0,Black,0.740740741,True
BF-255,F,B,,0.0,,,,,,0.615384615,0.038461538,0.346153846,0.0,0.0,Black,0.615384615,True
BM-001,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BM-002,M,B,,0.0,,,,,,0.989361702,0.010638298,0.0,0.0,0.0,Black,0.989361702,True
BM-003,M,B,,0.010989011,,,,,,0.978021978,0.010989011,0.0,0.0,0.0,Black,0.978021978,True
BM-004,M,B,,0.038167939,,,,,,0.198473282,0.099236641,0.396946565,0.251908397,0.015267176,Multiracial,0.396946565,True
BM-005,M,B,,0.0,,,,,,0.989130435,0.0,0.0,0.010869565,0.0,Black,0.989130435,True
BM-009,M,B,,0.010309278,,,,,,0.917525773,0.030927835,0.020618557,0.020618557,0.0,Black,0.917525773,True
BM-010,M,B,,0.010638298,,,,,,0.936170213,0.042553191,0.0,0.010638298,0.0,Black,0.936170213,True
BM-011,M,B,,0.0,,,,,,0.97826087,0.0,0.0,0.010869565,0.010869565,Black,0.97826087,True
BM-012,M,B,,0.0,,,,,,0.392857143,0.107142857,0.428571429,0.071428571,0.0,Multiracial,0.428571429,True
BM-013,M,B,,0.011235955,,,,,,0.887640449,0.02247191,0.02247191,0.056179775,0.0,Black,0.887640449,True
BM-015,M,B,,0.0,,,,,,0.913978495,0.032258065,0.021505376,0.032258065,0.0,Black,0.913978495,True
BM-016,M,B,,0.032608696,,,,,,0.554347826,0.184782609,0.065217391,0.152173913,0.010869565,Black,0.554347826,True
BM-017,M,B,,0.0,,,,,,0.836956522,0.054347826,0.032608696,0.065217391,0.010869565,Black,0.836956522,True
BM-018,M,B,,0.0,,,,,,0.683673469,0.214285714,0.030612245,0.071428571,0.0,Black,0.683673469,True
BM-019,M,B,,0.0,,,,,,0.988636364,0.0,0.0,0.011363636,0.0,Black,0.988636364,True
BM-020,M,B,,0.023255814,,,,,,0.918604651,0.011627907,0.011627907,0.034883721,0.0,Black,0.918604651,True
BM-021,M,B,,0.0,,,,,,0.978947368,0.010526316,0.0,0.010526316,0.0,Black,0.978947368,True
BM-022,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BM-023,M,B,,0.0,,,,,,0.978723404,0.0,0.010638298,0.0,0.010638298,Black,0.978723404,True
BM-024,M,B,,0.0,,,,,,0.625,0.135416667,0.104166667,0.125,0.010416667,Black,0.625,True
BM-025,M,B,,0.0,,,,,,0.979166667,0.010416667,0.0,0.010416667,0.0,Black,0.979166667,True
BM-026,M,B,,0.0,,,,,,0.967741935,0.021505376,0.0,0.010752688,0.0,Black,0.967741935,True
BM-027,M,B,,0.037037037,,,,,,0.037037037,0.259259259,0.37037037,0.296296296,0.0,Multiracial,0.37037037,True
BM-028,M,B,,0.021276596,,,,,,0.882978723,0.0,0.021276596,0.074468085,0.0,Black,0.882978723,True
BM-029,M,B,,0.0,,,,,,0.978021978,0.0,0.0,0.021978022,0.0,Black,0.978021978,True
BM-030,M,B,,0.020833333,,,,,,0.833333333,0.09375,0.020833333,0.03125,0.0,Black,0.833333333,True
BM-031,M,B,,0.022727273,,,,,,0.193181818,0.534090909,0.147727273,0.102272727,0.0,Latino,0.534090909,True
BM-032,M,B,,0.0,,,,,,0.988636364,0.011363636,0.0,0.0,0.0,Black,0.988636364,True
BM-033,M,B,,0.0,,,,,,0.927835052,0.051546392,0.010309278,0.010309278,0.0,Black,0.927835052,True
BM-034,M,B,,0.0,,,,,,0.956043956,0.010989011,0.010989011,0.021978022,0.0,Black,0.956043956,True
BM-036,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True
BM-037,M,B,,0.0,,,,,,0.966666667,0.022222222,0.0,0.0,0.011111111,Black,0.966666667,True
BM-038,M,B,,0.0,,,,,,0.97752809,0.0,0.0,0.011235955,0.011235955,Black,0.97752809,True
BM-039,M,B,,0.0,,,,,,0.989247312,0.0,0.0,0.010752688,0.0,Black,0.989247312,True
BM-040,M,B,,0.0,,,,,,0.939759036,0.0,0.012048193,0.036144578,0.012048193,Black,0.939759036,True
BM-041,M,B,,0.0,,,,,,0.964705882,0.011764706,0.011764706,0.011764706,0.0,Black,0.964705882,True
